model,recall@10,recall@20,recall@50,precision@10,precision@20,precision@50
LDA+Clustering, 0.06129419249029786, 0.1083453965209723, 0.2271881644869166, 0.06061221705047807, 0.05419288324212425, 0.04660187698042787
LDA+Clustering, 0.06482458623303483, 0.11434830405798387, 0.2272448726199591, 0.06518944160587688, 0.05836226632504375, 0.04704307351756536
LDA+Clustering, 0.05178867137081553, 0.0987664401632917, 0.20883883461264324, 0.05159270433765543, 0.04990145094532142, 0.04302136240275095
LDA+Clustering, 0.06072579571094498, 0.10518659738858935, 0.22295027679221044, 0.0605637005927877, 0.05317252149128499, 0.04604818290701696
LDA+Clustering, 0.059126002427936745, 0.11155360611459131, 0.23258510224348267, 0.05923253028485951, 0.05679154600726017, 0.04814166805643065
LDA+Clustering, 0.060781497784460986, 0.11262266731049565, 0.2297150832589808, 0.060583410403724954, 0.056862046484843616, 0.04735054656818911
LDA+Clustering, 0.0654806262056378, 0.11576875789382948, 0.2352102359072911, 0.06638112709793934, 0.059421289628105056, 0.04898039631878267
LDA+Clustering, 0.051665303208584215, 0.09807726123147112, 0.20645502686409015, 0.05060569765148264, 0.04921084949285932, 0.042474036114412375
LDA+Clustering, 0.05553913803981522, 0.10379620186646021, 0.21635580525053702, 0.057438937489553345, 0.05390936519248603, 0.045334081295361345
LDA+Clustering, 0.05864934456136634, 0.10659664912685456, 0.22192746245479406, 0.060055793926322085, 0.05532922964963267, 0.04645026305013961
